name;role;pma;pfc;slot;grade;expBonus;dpfcpma
DI GENNARO;P;2,2;1;3;9;4.07;-1
SOMMARIVA;P;1,4;1;3;9;3.68;0
ARESTI;P;1,6;1;3;9;3.68;-1
SOMMER;P;69,5;72,2;1;89;5.24;2
GORI;P;1,8;1;3;20;3.94;-1
CONTINI;P;1,7;1;3;9;4.07;-1
CHRISTENSEN O.;P;2,5;1;3;24;4.72;-2
AUDERO;P;1,8;1;3;20;4.83;-1
ADLI;C;0;1;8;40;5.99;0
ADOPO;C;0;1;8;33;5.87;0
AEBISCHER;C;2,1;1;8;54;5.93;-1
AKPA AKPRO;C;0;1;8;41;5.91;0
AMRABAT;C;2,7;1;8;65;6.20;-2
ASLLANI;C;1,6;1;8;40;5.87;-1
BAJRAMI;C;11,5;16,7;5;69;6.47;5
BALDANZI;C;25,4;19;5;74;6.44;-6
BARAK;C;4;1;8;55;6.29;-3
BARELLA;C;85,2;86,1;1;92;6.93;1
BASIC;C;0;1;8;45;6.12;0
BENASSI;C;0;1;8;39;5.91;0
BENNACER;C;2,7;1;8;35;6.03;-2
BLIN;C;2,2;1;8;72;5.95;-1
BOHINEN;C;1,9;1;8;61;5.98;-1
BONAVENTURA;C;18,6;28,6;4;75;6.58;10
BOVE;C;2,2;1;8;39;6.15;-1
CALHANOGLU;C;56,7;42,5;3;91;6.58;-14
CANDREVA;C;28,6;50,9;2;92;6.68;22
CARBONI V.;C;1,9;1;8;37;6.25;-1
CASTROVILLI;C;2,9;1;8;49;6.19;-2
CATALDI;C;2,3;1;8;74;6.09;-1
CIURRIA;C;25,8;41,3;3;92;6.56;15
COLPANI;C;4,6;1;8;64;6.15;-4
COULIBALY L.;C;3,3;1;8;74;5.93;-2
CRISTANTE;C;3,2;1;8;74;6.08;-2
DE KETELAERE;C;12,4;1;8;48;6.37;-11
DE ROON;C;3,6;6,7;7;91;6.10;3
DEMME;C;0;1;8;36;6.36;0
DOMINGUEZ;C;4,8;22,5;4;89;6.33;18
DUDA;C;1,8;8,9;7;71;6.31;7
DUNCAN;C;0;1;8;45;5.95;0
EDERSON D.S.;C;3,5;1;8;58;6.17;-3
EL SHAARAWY;C;17,9;16,6;5;54;6.74;-1
ELMAS;C;14,2;11,5;6;66;6.42;-2
FAGIOLI;C;10,6;9,1;7;73;6.29;-2
FATICANTI;C;0;1;8;32;6.18;0
FAZZINI;C;2,8;1;8;56;5.95;-2
FELIPE ANDERSON;C;85,4;73,5;1;86;6.91;-11
FERGUSON;C;34,2;45,3;2;91;6.62;11
FRATTESI;C;76,3;79,4;1;79;7.08;3
GAETANO;C;0;1,3;8;38;6.76;0
GAGLIARDINI;C;3,6;1;8;65;5.82;-3
GONZALEZ J.;C;2,1;1;8;61;6.06;-1
GRASSI;C;0;1;8;62;5.86;0
GYASI;C;4,3;9,8;7;80;6.23;6
HAAS;C;0;1;8;51;5.74;0
HARROUI;C;2,4;1;8;77;6.10;-1
HELGASON;C;0;1;8;38;6.06;0
HENDERSON L.;C;0;1;8;51;5.99;0
HJULMAND;C;3,3;10,7;6;92;6.14;8
HRUSTIC;C;0;1;8;37;6.28;0
IKONE';C;13,6;20,2;5;73;6.48;6
ILIC;C;7,5;10,9;6;74;6.31;3
ILKHAN;C;0;1;8;36;6.16;0
KASTANOS;C;2,2;1;8;64;6.07;-1
KOOPMEINERS;C;80,2;76,5;1;91;6.87;-3
KOSTIC;C;49,3;46,8;2;84;6.74;-2
KRUNIC;C;2,1;1;8;62;5.89;-1
LAZOVIC;C;21,1;39;3;90;6.54;18
LINETTY;C;0;1;8;45;5.99;0
LOBOTKA;C;12,7;22,4;4;89;6.32;9
LOCATELLI;C;4,7;1;8;72;6.09;-4
LOPEZ M.;C;2,6;6,2;8;76;6.21;3
LOVRIC;C;25,8;35,6;4;92;6.47;10
LUIS ALBERTO;C;58,3;49,6;2;92;6.67;-8
MACHIN;C;0;1;8;47;5.87;0
MAGGIORE;C;1,6;1;8;48;5.79;-1
MALDINI;C;2,5;1;8;46;5.93;-2
MALEH;C;0;1;8;51;6.02;0
MANDRAGORA;C;2,9;17,2;5;79;6.36;14
MARCOS ANTONIO;C;1,9;1;8;48;5.92;-1
MARIN;C;3,2;21,4;4;91;6.30;18
MATHEUS HENRIQUE;C;3,2;16,6;5;84;6.30;14
MATIC;C;2,6;3,6;8;70;6.22;1
MESSIAS;C;4,9;16,9;5;85;6.28;12
MIRANCHUK;C;3,3;1;8;49;6.20;-2
MIRETTI;C;1,9;1;8;45;6.11;-1
MKHITARYAN;C;10,4;5,4;8;68;6.28;-5
MORO N.;C;2,5;1;8;55;5.98;-2
NICOLUSSI CAVIGLIA;C;0;1;8;41;5.95;0
OBIANG;C;0;1;8;38;6.03;0
ORSOLINI;C;55,4;76,1;1;82;7.02;21
PAFUNDI;C;2,4;1;8;33;6.37;-1
PASALIC;C;25,4;23,5;4;66;6.64;-1
PELLEGRINI LO.;C;61,8;82,7;1;82;7.07;21
PESSINA;C;24,9;43,2;3;90;6.60;18
POBEGA;C;1,7;1;8;47;6.00;-1
POGBA;C;15,6;15,5;6;55;6.68;0
POLITANO;C;26,4;18,7;5;71;6.48;-7
PYYHTIA;C;0;1;8;36;6.26;0
RABIOT;C;51,8;47,5;2;90;6.66;-4
RADONJIC;C;10,8;10,7;7;66;6.40;0
RANOCCHIA F.;C;2,3;1;8;44;6.37;-1
RICCI S.;C;5;14,8;6;81;6.29;10
ROMERO L.;C;2,3;1;8;38;5.77;-1
ROVELLA;C;2,1;1;8;48;6.20;-1
SABIRI;C;2,2;1;8;42;6.56;-1
SAELEMAEKERS;C;1,9;1;8;48;6.19;-1
SAMARDZIC;C;14,8;14,2;6;64;6.49;-1
SAPONARA;C;8,9;6,7;7;63;6.36;-2
SCHOUTEN;C;3,1;1;8;70;5.95;-2
SENSI;C;1,8;1;8;44;6.04;-1
SOTTIL;C;1,8;1;8;46;6.45;-1
STREFEZZA;C;50,9;54,2;2;91;6.74;3
SULEMANA I.;C;0;1;8;40;5.81;0
TAMEZE;C;2,3;1;8;74;6.11;-1
